Property,Time,Value
RootT.x,0.00000000,-0.01966747
RootT.x,0.46666670,-0.02175210
RootT.x,1.21666700,-0.02469680
RootT.x,1.66666700,-0.02597682
RootT.x,2.48333300,-0.02467491
RootT.x,3.25000000,-0.02219428
RootT.x,3.91666700,-0.02110718
RootT.x,4.73333400,-0.02264940
RootT.x,5.36666700,-0.02270540
RootT.x,5.88333400,-0.01981999
RootT.x,6.58333300,-0.01715826
RootT.x,7.16666700,-0.01763829
RootT.x,7.81666700,-0.01918825
RootT.x,8.33333400,-0.01966749
RootT.y,0.00000000,0.95024390
RootT.y,8.33333400,0.95024390
RootT.z,0.00000000,0.00561003
RootT.z,0.48333330,0.00790579
RootT.z,0.68333340,0.00833002
RootT.z,1.10000000,0.00739622
RootT.z,1.51666700,0.00604758
RootT.z,1.76666700,0.00603691
RootT.z,2.00000000,0.00623536
RootT.z,2.38333300,0.00738499
RootT.z,2.86666700,0.00765417
RootT.z,3.15000000,0.00775024
RootT.z,3.65000000,0.00853355
RootT.z,4.46666700,0.00876327
RootT.z,4.91666700,0.00714400
RootT.z,5.31666700,0.00445340
RootT.z,5.58333300,0.00313687
RootT.z,5.76666700,0.00285014
RootT.z,5.98333400,0.00277150
RootT.z,6.33333300,0.00372001
RootT.z,6.60000000,0.00390953
RootT.z,6.75000000,0.00375199
RootT.z,7.13333400,0.00383492
RootT.z,7.51666700,0.00414004
RootT.z,7.83333400,0.00463280
RootT.z,8.26666700,0.00540670
RootT.z,8.33333400,0.00560968
RootQ.x,0.00000000,0.00000001
RootQ.x,0.01666667,-0.00000135
RootQ.x,0.03333334,-0.00001307
RootQ.x,0.05000000,-0.00003177
RootQ.x,0.10000000,-0.00013264
RootQ.x,0.16666670,-0.00031384
RootQ.x,0.26666670,-0.00056157
RootQ.x,0.40000000,-0.00066619
RootQ.x,0.48333330,-0.00038186
RootQ.x,0.53333340,-0.00013298
RootQ.x,0.56666670,0.00001931
RootQ.x,0.61666670,0.00022261
RootQ.x,0.70000000,0.00043180
RootQ.x,0.76666670,0.00033853
RootQ.x,0.81666670,0.00022239
RootQ.x,0.85000000,0.00019661
RootQ.x,0.91666670,0.00019686
RootQ.x,0.96666670,0.00008956
RootQ.x,0.98333340,0.00002887
RootQ.x,1.00000000,-0.00004045
RootQ.x,1.08333300,-0.00048234
RootQ.x,1.16666700,-0.00100973
RootQ.x,1.26666700,-0.00173632
RootQ.x,1.41666700,-0.00318769
RootQ.x,1.61666700,-0.00525346
RootQ.x,1.81666700,-0.00696406
RootQ.x,2.03333400,-0.00746653
RootQ.x,2.26666700,-0.00667595
RootQ.x,2.55000000,-0.00495855
RootQ.x,2.80000000,-0.00368492
RootQ.x,3.01666700,-0.00337535
RootQ.x,3.21666700,-0.00294939
RootQ.x,3.30000000,-0.00246002
RootQ.x,3.40000000,-0.00200639
RootQ.x,3.48333400,-0.00137863
RootQ.x,3.56666700,-0.00068274
RootQ.x,3.63333300,-0.00003943
RootQ.x,3.66666700,0.00023562
RootQ.x,3.73333400,0.00074174
RootQ.x,3.81666700,0.00133250
RootQ.x,3.91666700,0.00173027
RootQ.x,4.01666700,0.00219648
RootQ.x,4.13333400,0.00217085
RootQ.x,4.31666700,0.00204268
RootQ.x,4.48333400,0.00151649
RootQ.x,4.60000000,0.00109526
RootQ.x,4.68333300,0.00059408
RootQ.x,4.76666700,0.00006903
RootQ.x,4.78333400,-0.00005286
RootQ.x,4.90000000,-0.00100416
RootQ.x,5.03333400,-0.00211321
RootQ.x,5.18333300,-0.00356711
RootQ.x,5.35000000,-0.00487111
RootQ.x,5.58333300,-0.00686197
RootQ.x,5.90000000,-0.00737645
RootQ.x,6.13333400,-0.00636794
RootQ.x,6.45000000,-0.00573966
RootQ.x,6.68333400,-0.00487470
RootQ.x,6.96666700,-0.00410887
RootQ.x,7.06666700,-0.00449539
RootQ.x,7.18333400,-0.00406084
RootQ.x,7.31666700,-0.00358294
RootQ.x,7.46666700,-0.00316919
RootQ.x,7.58333300,-0.00266450
RootQ.x,7.70000000,-0.00252735
RootQ.x,7.80000000,-0.00226415
RootQ.x,7.90000100,-0.00190847
RootQ.x,8.00000000,-0.00129726
RootQ.x,8.10000000,-0.00079706
RootQ.x,8.20000100,-0.00037532
RootQ.x,8.30000000,-0.00006804
RootQ.x,8.31666800,-0.00003062
RootQ.x,8.33333400,0.00000007
RootQ.y,0.00000000,-0.00000001
RootQ.y,0.10000000,-0.00058598
RootQ.y,0.20000000,-0.00084633
RootQ.y,0.31666670,-0.00076723
RootQ.y,0.41666670,-0.00074197
RootQ.y,0.51666670,-0.00047422
RootQ.y,0.56666670,-0.00058929
RootQ.y,0.65000000,-0.00106001
RootQ.y,0.80000010,-0.00098479
RootQ.y,0.90000000,-0.00027949
RootQ.y,0.91666670,-0.00011194
RootQ.y,0.93333340,0.00006571
RootQ.y,1.00000000,0.00079120
RootQ.y,1.11666700,0.00175033
RootQ.y,1.23333300,0.00184521
RootQ.y,1.33333300,0.00150749
RootQ.y,1.45000000,0.00165420
RootQ.y,1.65000000,0.00111894
RootQ.y,1.75000000,0.00095220
RootQ.y,1.86666700,0.00113228
RootQ.y,1.96666700,0.00166049
RootQ.y,2.11666700,0.00182499
RootQ.y,2.28333400,0.00126291
RootQ.y,2.36666700,0.00128534
RootQ.y,2.46666700,0.00178402
RootQ.y,2.58333300,0.00260288
RootQ.y,2.71666700,0.00322016
RootQ.y,2.90000000,0.00271579
RootQ.y,3.01666700,0.00250293
RootQ.y,3.16666700,0.00265557
RootQ.y,3.28333400,0.00219132
RootQ.y,3.38333300,0.00216655
RootQ.y,3.48333400,0.00189408
RootQ.y,3.58333300,0.00205915
RootQ.y,3.68333400,0.00215673
RootQ.y,3.80000000,0.00231444
RootQ.y,3.91666700,0.00216554
RootQ.y,4.00000000,0.00169632
RootQ.y,4.11666700,0.00161269
RootQ.y,4.23333400,0.00145116
RootQ.y,4.33333300,0.00124050
RootQ.y,4.41666700,0.00113939
RootQ.y,4.50000000,0.00117769
RootQ.y,4.58333300,0.00120135
RootQ.y,4.70000000,0.00143495
RootQ.y,4.81666700,0.00135200
RootQ.y,4.95000000,0.00160429
RootQ.y,5.06666700,0.00184759
RootQ.y,5.16666700,0.00190698
RootQ.y,5.28333400,0.00147603
RootQ.y,5.41666700,0.00126663
RootQ.y,5.61666700,0.00076825
RootQ.y,5.73333400,0.00091889
RootQ.y,5.83333300,0.00159451
RootQ.y,5.96666700,0.00201559
RootQ.y,6.06666700,0.00164106
RootQ.y,6.16666700,0.00092765
RootQ.y,6.31666700,0.00101136
RootQ.y,6.43333400,0.00121565
RootQ.y,6.51666700,0.00116219
RootQ.y,6.61666700,0.00074748
RootQ.y,6.73333400,0.00070010
RootQ.y,6.81666700,0.00084112
RootQ.y,6.90000100,0.00103245
RootQ.y,6.98333400,0.00110100
RootQ.y,7.05000000,0.00110584
RootQ.y,7.15000100,0.00064879
RootQ.y,7.23333400,0.00051121
RootQ.y,7.31666700,0.00044163
RootQ.y,7.40000100,0.00042065
RootQ.y,7.50000000,0.00024003
RootQ.y,7.56666700,0.00009948
RootQ.y,7.60000000,0.00009332
RootQ.y,7.65000100,0.00014541
RootQ.y,7.68333400,0.00016850
RootQ.y,7.75000000,0.00019353
RootQ.y,7.85000000,0.00036521
RootQ.y,7.98333400,0.00054485
RootQ.y,8.11666700,0.00076423
RootQ.y,8.23333400,0.00065563
RootQ.y,8.31666800,0.00013795
RootQ.y,8.33333400,-0.00000007
RootQ.z,0.00000000,0.00000011
RootQ.z,0.01666667,0.00003574
RootQ.z,0.03333334,0.00007818
RootQ.z,0.10000000,0.00029190
RootQ.z,0.18333330,0.00057952
RootQ.z,0.33333330,0.00106579
RootQ.z,0.45000000,0.00149975
RootQ.z,0.56666670,0.00165456
RootQ.z,0.68333340,0.00129712
RootQ.z,0.83333340,0.00118337
RootQ.z,0.93333340,0.00108001
RootQ.z,1.05000000,0.00116071
RootQ.z,1.21666700,0.00122379
RootQ.z,1.31666700,0.00121712
RootQ.z,1.41666700,0.00123543
RootQ.z,1.53333300,0.00142331
RootQ.z,1.66666700,0.00142523
RootQ.z,1.76666700,0.00121808
RootQ.z,1.85000000,0.00096456
RootQ.z,1.93333300,0.00085227
RootQ.z,2.03333400,0.00045981
RootQ.z,2.11666700,0.00027459
RootQ.z,2.18333300,0.00018783
RootQ.z,2.25000000,0.00009850
RootQ.z,2.28333400,0.00001374
RootQ.z,2.31666700,-0.00009758
RootQ.z,2.36666700,-0.00026393
RootQ.z,2.46666700,-0.00046410
RootQ.z,2.55000000,-0.00051185
RootQ.z,2.61666700,-0.00056714
RootQ.z,2.71666700,-0.00073959
RootQ.z,2.83333300,-0.00077951
RootQ.z,2.93333300,-0.00082127
RootQ.z,3.06666700,-0.00044541
RootQ.z,3.18333300,-0.00018419
RootQ.z,3.25000000,-0.00019003
RootQ.z,3.30000000,-0.00020829
RootQ.z,3.40000000,-0.00017542
RootQ.z,3.53333400,-0.00025926
RootQ.z,3.61666700,-0.00028462
RootQ.z,3.66666700,-0.00018605
RootQ.z,3.71666700,-0.00004646
RootQ.z,3.73333400,-0.00000853
RootQ.z,3.75000000,0.00002246
RootQ.z,3.80000000,0.00009356
RootQ.z,3.83333300,0.00015495
RootQ.z,3.91666700,0.00032946
RootQ.z,4.01666700,0.00032791
RootQ.z,4.11666700,0.00037675
RootQ.z,4.21666700,0.00037482
RootQ.z,4.31666700,0.00048163
RootQ.z,4.41666700,0.00060317
RootQ.z,4.53333400,0.00068985
RootQ.z,4.63333400,0.00081952
RootQ.z,4.75000000,0.00053968
RootQ.z,4.83333300,0.00035876
RootQ.z,4.91666700,0.00016134
RootQ.z,4.96666700,0.00009616
RootQ.z,5.01666700,0.00006334
RootQ.z,5.05000000,0.00004092
RootQ.z,5.08333300,0.00001977
RootQ.z,5.10000000,0.00001236
RootQ.z,5.11666700,0.00000880
RootQ.z,5.15000000,0.00001505
RootQ.z,5.18333300,0.00003544
RootQ.z,5.25000000,0.00004527
RootQ.z,5.26666700,0.00002272
RootQ.z,5.28333400,-0.00001404
RootQ.z,5.40000000,-0.00051115
RootQ.z,5.60000000,-0.00119687
RootQ.z,5.83333300,-0.00205979
RootQ.z,5.96666700,-0.00253246
RootQ.z,6.13333400,-0.00322171
RootQ.z,6.28333400,-0.00322235
RootQ.z,6.43333400,-0.00329972
RootQ.z,6.61666700,-0.00295333
RootQ.z,6.91666700,-0.00246344
