Property,Time,Value
RootT.x,0.00000000,0.01375778
RootT.x,0.03333334,0.01398408
RootT.x,0.06666667,0.01503260
RootT.x,0.10000000,0.01450182
RootT.x,0.13333330,0.01563369
RootT.x,0.20000000,0.01526779
RootT.x,0.23333330,0.01545494
RootT.x,0.33333330,0.01382833
RootT.x,0.41666670,0.01471379
RootT.x,0.53333340,0.01375831
RootT.y,0.00000000,0.99187340
RootT.y,0.53333340,0.99187340
RootT.z,0.00000000,0.00844608
RootT.z,0.03333334,0.00658620
RootT.z,0.05000000,0.00623554
RootT.z,0.06666667,0.00635338
RootT.z,0.10000000,0.00823271
RootT.z,0.15000000,0.01035378
RootT.z,0.16666670,0.01058569
RootT.z,0.20000000,0.01108843
RootT.z,0.23333330,0.01017613
RootT.z,0.30000000,0.00691702
RootT.z,0.31666670,0.00535717
RootT.z,0.33333330,0.00408950
RootT.z,0.35000000,0.00394770
RootT.z,0.38333340,0.00522876
RootT.z,0.43333340,0.00894313
RootT.z,0.46666670,0.01108167
RootT.z,0.50000000,0.01038222
RootT.z,0.53333340,0.00844565
RootQ.x,0.00000000,-0.00121430
RootQ.x,0.03333334,-0.00213605
RootQ.x,0.05000000,-0.00277977
RootQ.x,0.06666667,-0.00327138
RootQ.x,0.10000000,-0.00298255
RootQ.x,0.13333330,-0.00332732
RootQ.x,0.15000000,-0.00328743
RootQ.x,0.16666670,-0.00309855
RootQ.x,0.18333330,-0.00260501
RootQ.x,0.20000000,-0.00227077
RootQ.x,0.21666670,-0.00270340
RootQ.x,0.23333330,-0.00334679
RootQ.x,0.25000000,-0.00378561
RootQ.x,0.26666670,-0.00418954
RootQ.x,0.30000000,-0.00497651
RootQ.x,0.35000000,-0.00734854
RootQ.x,0.36666670,-0.00809344
RootQ.x,0.40000000,-0.00903326
RootQ.x,0.41666670,-0.00851255
RootQ.x,0.43333340,-0.00736695
RootQ.x,0.45000000,-0.00531382
RootQ.x,0.46666670,-0.00327710
RootQ.x,0.48333330,-0.00226320
RootQ.x,0.50000000,-0.00168926
RootQ.x,0.51666670,-0.00137191
RootQ.x,0.53333340,-0.00121414
RootQ.y,0.00000000,-0.00214350
RootQ.y,0.01666667,0.00194953
RootQ.y,0.03333334,0.00479345
RootQ.y,0.05000000,0.00429606
RootQ.y,0.06666667,0.00163384
RootQ.y,0.08333334,-0.00316777
RootQ.y,0.10000000,-0.00873633
RootQ.y,0.13333330,-0.01793415
RootQ.y,0.16666670,-0.02441779
RootQ.y,0.23333330,-0.01975058
RootQ.y,0.26666670,-0.01193694
RootQ.y,0.28333340,-0.00943290
RootQ.y,0.30000000,-0.00824645
RootQ.y,0.31666670,-0.00906427
RootQ.y,0.36666670,-0.01636944
RootQ.y,0.41666670,-0.02236158
RootQ.y,0.45000000,-0.02355243
RootQ.y,0.46666670,-0.02239329
RootQ.y,0.51666670,-0.00848622
RootQ.y,0.53333340,-0.00214313
RootQ.z,0.00000000,-0.00020944
RootQ.z,0.01666667,0.00099235
RootQ.z,0.05000000,0.00329391
RootQ.z,0.06666667,0.00436406
RootQ.z,0.08333334,0.00546832
RootQ.z,0.10000000,0.00622097
RootQ.z,0.11666670,0.00576959
RootQ.z,0.13333330,0.00544765
RootQ.z,0.15000000,0.00680899
RootQ.z,0.16666670,0.00853896
RootQ.z,0.18333330,0.00992637
RootQ.z,0.20000000,0.01077085
RootQ.z,0.23333330,0.00949233
RootQ.z,0.26666670,0.00849514
RootQ.z,0.33333330,0.00490997
RootQ.z,0.36666670,0.00176530
RootQ.z,0.38333340,0.00002048
RootQ.z,0.40000000,-0.00168243
RootQ.z,0.43333340,-0.00443710
RootQ.z,0.46666670,-0.00572083
RootQ.z,0.48333330,-0.00525092
RootQ.z,0.50000000,-0.00412573
RootQ.z,0.51666670,-0.00230778
RootQ.z,0.53333340,-0.00020948
RootQ.w,0.00000000,0.99999700
RootQ.w,0.53333340,0.99999700
LeftFootT.x,0.00000000,-0.09635019
LeftFootT.x,0.08333334,-0.10861760
LeftFootT.x,0.11666670,-0.10964650
LeftFootT.x,0.13333330,-0.10972410
LeftFootT.x,0.18333330,-0.11857250
LeftFootT.x,0.25000000,-0.11640120
LeftFootT.x,0.38333340,-0.09755052
LeftFootT.x,0.50000000,-0.08939544
LeftFootT.x,0.53333340,-0.09635083
LeftFootT.y,0.00000000,-0.99189690
LeftFootT.y,0.53333340,-0.99189690
LeftFootT.z,0.00000000,-0.00797073
LeftFootT.z,0.03333334,-0.00929807
LeftFootT.z,0.06666667,-0.01069305
LeftFootT.z,0.10000000,-0.00985566
LeftFootT.z,0.13333330,-0.01030630
LeftFootT.z,0.16666670,-0.00901427
LeftFootT.z,0.18333330,-0.00811763
LeftFootT.z,0.20000000,-0.00769842
LeftFootT.z,0.21666670,-0.00866985
LeftFootT.z,0.23333330,-0.01007320
LeftFootT.z,0.26666670,-0.01225291
LeftFootT.z,0.30000000,-0.01259204
LeftFootT.z,0.33333330,-0.01231398
LeftFootT.z,0.36666670,-0.01475207
LeftFootT.z,0.40000000,-0.01781763
LeftFootT.z,0.41666670,-0.01781546
LeftFootT.z,0.43333340,-0.01671944
LeftFootT.z,0.46666670,-0.01098650
LeftFootT.z,0.48333330,-0.00948231
LeftFootT.z,0.53333340,-0.00797014
LeftFootQ.x,0.00000000,-0.50056790
LeftFootQ.x,0.11666670,-0.50237140
LeftFootQ.x,0.35000000,-0.50143100
LeftFootQ.x,0.51666670,-0.50470600
LeftFootQ.x,0.53333340,-0.50056720
LeftFootQ.y,0.00000000,0.50157270
LeftFootQ.y,0.23333330,0.51615940
LeftFootQ.y,0.38333340,0.51351790
